Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
M766848,8,otc alterations permit,03/08/2017,3522,116,9,,Bernice,St,,,street space,issued,03/08/2017,03/08/2017,03/08/2017,,03/08/2017,,,,,,,,1.0,,,,,,,,,,,,6.0,Mission,94103.0,"(37.770077763447624, -122.4136596972044)",1455522496274
M762447,8,otc alterations permit,02/21/2017,3970,005,405,,Florida,St,,,street space,issued,02/21/2017,02/21/2017,02/21/2017,,02/21/2017,,,,,,,,1.0,,,,,,,,,,,,,,,,1453803387644
201507161644,3,additions alterations or repairs,07/16/2015,0670,011,1238,,Sutter,St,,,construct 9-story mixed-use w/ 2 commercial ground floor lease spaces and 8-story of residential w/ 37 units above.,issued,05/09/2016,07/16/2015,05/09/2016,,11/30/2016,Y,2.0,9.0,,,04/08/2022,6500000.0,11466000.0,retail sales,0.0,apartments,37.0,2.0,,5.0,wood frame (5),1.0,constr type 1,Y,3.0,Nob Hill,94109.0,"(37.78792924558961, -122.42082396956111)",138862678404
201610049499,8,otc alterations permit,10/04/2016,2024,026,1830,,Noriega,St,,,"eliminate (e) light wells on both side of bldg on 1/f, turn (e) storage into mudroom, replace (e) interior stair with spiral staircase, re-configure 1/f layout, add on efull bathroom on 1/f. replace 8 windows, replace 3 sliding doors, full bathroom in basement",reinstated,01/09/2017,10/04/2016,12/22/2016,,12/22/2016,Y,2.0,2.0,,,12/17/2017,40000.0,100000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.75418962721657, -122.48354739733213)",1439802122367
M470307,8,otc alterations permit,03/12/2014,0529,018C,2844,,Octavia,St,,,street space.,issued,03/12/2014,03/12/2014,03/12/2014,,03/12/2014,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.798627186201266, -122.42879501502117)",133522773192
201306078967,8,otc alterations permit,06/07/2013,0595,002,1604,,Jackson,St,,,"shoring revision to issued pa# 201208086865.  reduce the concrete strength to 2500 psi in the underpinning piers, lintel beams & soldier beam toes.",complete,08/27/2013,06/07/2013,06/10/2013,08/27/2013,06/10/2013,,2.0,2.0,,,06/05/2014,1.0,1.0,retail sales,,retail sales,,2.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,Russian Hill,94109.0,"(37.79441960937275, -122.4217921651299)",1307322368252
201610241010,8,otc alterations permit,10/24/2016,5839,017,225,,Genebern,Wy,,,replace 120 sf slab at garage.,complete,05/09/2017,10/24/2016,10/24/2016,05/09/2017,10/24/2016,,2.0,2.0,,,10/19/2017,3000.0,3000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94112.0,"(37.73250568712402, -122.42505635565185)",1441946189205
201706280569,8,otc alterations permit,06/28/2017,2842,010,275,,Olympia,Wy,,,removal o f not applicable special inspections. ref pa 2016-1103-1810,issued,08/31/2017,06/28/2017,08/31/2017,,08/31/2017,,1.0,1.0,,,12/31/2017,1.0,1.0,church,0.0,church,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,Twin Peaks,94131.0,"(37.75098784118365, -122.45623545522685)",1468639145729
201702028538,8,otc alterations permit,02/02/2017,0909,006,3620,,Lyon,St,,,replace four windows at front wall/facing street in-kind. no rough opening changes. u-factor for all new windows shall not exceed 0.32.,complete,03/30/2017,02/02/2017,02/03/2017,03/30/2017,02/03/2017,,3.0,3.0,,,01/29/2018,40000.0,40000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.804452300110995, -122.447891182739)",145214083792
201401065586,8,otc alterations permit,01/06/2014,6640,002A,554,,30th,St,,,reroofing,complete,02/11/2014,01/06/2014,01/06/2014,02/11/2014,01/06/2014,,2.0,2.0,,,01/01/2015,19600.0,19600.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.74200117195511, -122.43224864143801)",1328890493904
201612094556,3,additions alterations or repairs,12/09/2016,6635,053,31,,29th,St,,,rebuild fire damage. vertical addition & interior alterations for new 2nd dwelling unit. add 2 bed & 1 bath. type iiib to iiib & va.** maher: n/a **,issued,09/27/2017,12/09/2016,09/27/2017,,09/27/2017,Y,3.0,4.0,,,09/27/2018,250000.0,250000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,3.0,constr type 3,5.0,wood frame (5),Y,9.0,Bernal Heights,94110.0,"(37.74384619968889, -122.42153818636557)",1446888382592
201305247803,8,otc alterations permit,05/24/2013,2187,024,2118,,31st,Av,,,1)bathroom remodel. 2)new interior spiral stair. 3)infill lightwell at right side of bldg.,complete,10/28/2014,05/24/2013,09/05/2013,10/28/2014,09/05/2013,Y,2.0,2.0,,,08/31/2014,20000.0,20000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94116.0,"(37.747676719643785, -122.48857941707786)",1305866129192
201302049423,8,otc alterations permit,02/04/2013,0958,028,2808,,Broadway,,,,"exporatory non-structural demo in walls, & ceilings, on first 2nd &3rd floors to identify/issues in advance of future voluntary seismic upgrade, approx 20% per floor no exterior work.",complete,09/12/2013,02/04/2013,02/04/2013,09/12/2013,02/04/2013,,4.0,4.0,,,01/30/2014,25000.0,25000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Pacific Heights,94123.0,"(37.7934935407685, -122.44351612883152)",129512785378
201606160170,8,otc alterations permit,06/16/2016,5612,014,32,A,Elsie,St,,,replace old deck with new on same foot print (in kind) reuse extg footings redwood. no build out changes.,complete,07/12/2016,06/16/2016,06/29/2016,07/12/2016,06/29/2016,,2.0,2.0,,,06/24/2017,3000.0,10000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.74437058416317, -122.41688759651365)",1427036184737
201408143857,8,otc alterations permit,08/14/2014,0330,004,33,,Powell,St,,,remodel of two existing hotel guest rooms at the 2nd floor room #220 & #221. n/a maher ordinance,issued,08/18/2014,08/14/2014,08/18/2014,,08/18/2014,,6.0,6.0,,,08/13/2015,95000.0,95000.0,tourist hotel/motel,151.0,tourist hotel/motel,151.0,2.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Tenderloin,94102.0,"(37.78488996234959, -122.40815795901663)",135231469792
201510190095,8,otc alterations permit,10/19/2015,6531,022,353,,San Jose,Av,,,"sprinkler waterflow and supervisory system. new control unit, smoke det above and pull station near on the gf fl. install monitor modules to tie in waterflow and tamper switches to new panel",complete,10/17/2016,10/19/2015,10/19/2015,10/17/2016,10/19/2015,,3.0,3.0,,Y,10/13/2016,2100.0,2100.0,apartments,4.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Mission,94110.0,"(37.74953472313682, -122.42107732590381)",1399837206444
201702149383,3,additions alterations or repairs,02/14/2017,3528,001,1201,,Bryant,St,,,deferred base building mep for 1201 bryant st. reference appln #201606301320 (architectural),issued,05/12/2017,02/14/2017,05/12/2017,,05/12/2017,,3.0,3.0,,,04/26/2020,1.0,2200000.0,manufacturing,,manufacturing,,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Mission,94103.0,"(37.76985332655338, -122.40989163568764)",1453300373860
M392307,8,otc alterations permit,05/08/2013,3607,062,3769,,20th,St,,,street space.,issued,05/08/2013,05/08/2013,05/08/2013,,05/08/2013,,,,,,,,1.0,,,,,,,,,,,,8.0,Mission,94110.0,"(37.75803178385358, -122.42495859887242)",1304053161699
201501226460,8,otc alterations permit,01/22/2015,6566,040,3839,,26th,St,,,re-roofing,complete,03/04/2015,01/22/2015,01/22/2015,03/04/2015,01/22/2015,,3.0,3.0,,,01/17/2016,17125.0,17125.0,1 family dwelling,2.0,1 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.7483325636043, -122.4258068790142)",1368653207747
201710040373,8,otc alterations permit,10/04/2017,3751,029,750,,Harrison,St,,,install fire sprinkler system throughout entire building per nfpa 13 (ref #201602230301). maher na,withdrawn,10/19/2017,10/04/2017,,,,,,9.0,,Y,,25000.0,0.0,,,apartments,79.0,2.0,,,,1.0,constr type 1,,6.0,South of Market,94107.0,"(37.781885387875924, -122.39879379540719)",1482138165843
201708043923,8,otc alterations permit,08/04/2017,0518,018,1966,,Filbert,St,,,revision to  to app#201704194355. conversion of studio into one bedroom and relocate kitchen,filed,08/04/2017,08/04/2017,,,,,3.0,3.0,,,,30000.0,0.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.79878526282541, -122.43192586266059)",1473365266883
201610190660,8,otc alterations permit,10/19/2016,0232,016,3,,Embarcadero Center,,,,"entire 6th floor - (n) demising walls, non-structural demo. (n) upgraged toilet rooms, (n) finishes @ corridor & elevator lobby. no change in occupancy, use, area. maher na",complete,04/17/2017,10/19/2016,11/30/2016,04/17/2017,11/30/2016,,30.0,30.0,,,11/15/2019,220600.0,220600.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94111.0,"(37.79494825891712, -122.3972981233132)",144143763349
201602189946,8,otc alterations permit,02/18/2016,1720,011,1251,,30th,Av,,,replace the dry walls inside the sunroom on upper level. provide r-19 insulation for any conditioned spaced therein.,complete,03/07/2016,02/18/2016,02/18/2016,03/07/2016,02/18/2016,,2.0,2.0,,,02/12/2017,600.0,600.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.763919435332426, -122.48930127109186)",1413175111532
M699649,8,otc alterations permit,06/21/2016,6548,042,4015,,25th,St,,,street space,issued,06/21/2016,06/21/2016,06/21/2016,,06/21/2016,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.74969205730105, -122.42992863478726)",1427534207102
